date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:46	105/105	---MC-	302	error ('Found')	text/html	date:Thu,%2007%20Feb%202019%2018:29:44%20GMT	https://www.palamsilk.com/account	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/account.28.delayed	(from https://www.palamsilk.com/)
23:59:47	90394/90394	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2018:29:47%20GMT	https://www.palamsilk.com/account/login	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/account/login.html	(from https://www.palamsilk.com/)
23:59:50	2627/2627	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2018:29:50%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/files/Palam-new-logo-2_792e006d-12d4-49c4-bfc9-d2747ad313d6.png?v=1524478724	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/files/Palam-new-logo-2_792e006d-12d4-49c4-bfc9-d2747ad313d65e0a.png	(from https://www.palamsilk.com/)
23:59:50	89786/89786	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2018:29:49%20GMT	https://www.palamsilk.com/a/mswishlist	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/a/mswishlist.html	(from https://www.palamsilk.com/)
23:59:51	2627/2627	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2018:29:51%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/files/Palam-new-logo-2_bc98e172-2eae-4e1f-8a74-c69aa600025d.png?v=1524478713	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/files/Palam-new-logo-2_bc98e172-2eae-4e1f-8a74-c69aa600025df163.png	(from https://www.palamsilk.com/)
23:59:52	88930/88930	---MCZ	200	added ('OK')	text/html	etag:cacheable:3c28a12a2ac3ebae25dc9b3d34ae50ff	https://www.palamsilk.com/account/register	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/account/register.html	(from https://www.palamsilk.com/)
23:59:53	143/143	---MC-	302	error ('Found')	text/html	date:Thu,%2007%20Feb%202019%2018:29:52%20GMT	https://www.palamsilk.com/checkout	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/checkout	(from https://www.palamsilk.com/)
23:59:53	96/96	---MC-	302	error ('Found')	text/html	date:Thu,%2007%20Feb%202019%2018:29:53%20GMT	https://www.palamsilk.com/21559601/checkouts/7117d010a9d50ddd1bdaab59e2cd7235	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/21559601/checkouts/7117d010a9d50ddd1bdaab59e2cd7235	(from https://www.palamsilk.com/)
23:59:54	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://www.palamsilk.com/cart	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/cart	(from https://www.palamsilk.com/)
23:59:55	496/496	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2018:29:55%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/files/palam-small-logo_x48.png?v=1539778131	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/files/palam-small-logo_x486a40.png	(from https://www.palamsilk.com/)
